currentSecond, requestsSent, averageResponse, Timeouts, TotalBytes, Total403and404, Responses
0,49,230.24,0,764342,0,"[200]"
1,77,355.03,0,1181920,0,"[200]"
2,89,247.72,0,1455541,0,"[200]"
3,55,199.26,0,778170,5,"[200,404]"
4,35,161.44,0,198434,17,"[404,200]"
5,10,136.63,0,98980,2,"[404,200]"
6,8,155.38,0,105345,0,"[200]"
7,4,532,0,36375,0,"[200,500]"
8,5,142,0,64798,0,"[200]"
9,27,141.67,0,32282,24,"[404,200]"
10,55,191.46,0,834748,1,"[200,404]"
11,61,206.84,0,957173,0,"[200]"
12,53,185.48,0,814033,1,"[200,404]"
